Cost,Nodes Expanded,CPU Runtime (in milliseconds),Real Runtime (in milliseconds),Graph Size
1632,5,3.290000000000237,0.3390312194824219,5
2323,5,0.4939999999997724,0.17905235290527344,5
1961,5,0.25499999999967216,0.07891654968261719,5
1723,5,0.22700000000019926,0.07104873657226562,5
1628,5,0.22799999999989495,0.07319450378417969,5
1658,5,0.5239999999999689,0.14901161193847656,5
1654,5,0.15999999999971593,0.07987022399902344,5
2353,5,0.9899999999998244,0.06794929504394531,5
2225,5,0.1549999999999052,0.07510185241699219,5
2813,5,0.14799999999981495,0.07390975952148438,5
3014,5,0.1340000000000785,0.06413459777832031,5
1591,5,0.12100000000003774,0.07009506225585938,5
2457,5,0.2620000000002065,0.06604194641113281,5
1961,5,0.20600000000037255,0.06580352783203125,5
2773,5,0.35799999999985843,0.07319450378417969,5
2522,5,0.19700000000000273,0.07104873657226562,5
2888,5,0.3959999999998409,0.07390975952148438,5
2389,5,0.13200000000024303,0.06890296936035156,5
1840,5,0.46999999999997044,0.17499923706054688,5
2100,5,0.220000000000109,0.06699562072753906,5
2429,5,0.140000000000029,0.06699562072753906,5
2121,5,0.44800000000000395,0.17309188842773438,5
2418,5,0.14599999999997948,0.06604194641113281,5
2290,5,0.13199999999979894,0.06508827209472656,5
2091,5,0.13700000000005375,0.06604194641113281,5
2572,5,0.13200000000024303,0.06389617919921875,5
2055,5,0.18099999999998673,0.09226799011230469,5
1468,5,0.21199999999987895,0.10704994201660156,5
1432,5,0.23900000000010024,0.10895729064941406,5
2430,5,0.13800000000019352,0.06794929504394531,5
2665,10,0.8589999999997211,0.10395050048828125,10
3888,10,0.19900000000028228,0.09894371032714844,10
2049,10,0.2039999999996489,0.10013580322265625,10
3876,10,0.19999999999997797,0.09584426879882812,10
3152,10,0.5690000000000417,0.20813941955566406,10
3368,10,4.116000000000231,0.09775161743164062,10
2968,10,0.22399999999977993,0.1049041748046875,10
3584,10,0.48699999999968213,0.20623207092285156,10
3317,10,0.6580000000000474,0.09799003601074219,10
2768,10,0.26100000000006673,0.10895729064941406,10
3455,10,0.3699999999997594,0.10180473327636719,10
3004,10,0.31399999999992545,0.09870529174804688,10
2890,10,0.2900000000001235,0.09393692016601562,10
3631,10,0.3049999999999997,0.10013580322265625,10
4668,10,0.2939999999997944,0.1010894775390625,10
3895,10,0.35700000000016274,0.09965896606445312,10
3372,10,0.34700000000009723,0.15735626220703125,10
2812,10,0.41100000000016124,0.10800361633300781,10
3341,10,0.30200000000002447,0.10180473327636719,10
3248,10,0.15699999999974068,0.09393692016601562,10
3674,10,0.2849999999998687,0.16021728515625,10
2459,10,0.16900000000008575,0.09989738464355469,10
3107,10,0.19199999999974793,0.11277198791503906,10
2668,10,0.21199999999987895,0.1049041748046875,10
3258,10,0.14200000000030855,0.10204315185546875,10
3615,10,8.779000000000092,0.11801719665527344,10
2775,10,0.26599999999987745,0.1289844512939453,10
3464,10,16.570000000000196,1.8229484558105469,10
2883,10,0.28700000000014825,0.19884109497070312,10
3523,10,3.0050000000003685,0.12993812561035156,10
4224,15,0.27699999999963865,0.16880035400390625,15
3381,15,2.447000000000088,0.20694732666015625,15
4179,15,0.6149999999998101,0.17905235290527344,15
4396,15,0.6390000000000562,0.15926361083984375,15
4055,15,0.3900000000003345,0.15211105346679688,15
3769,15,0.6780000000001785,0.14710426330566406,15
2883,15,0.6170000000000897,0.14781951904296875,15
3535,15,0.45399999999995444,0.14781951904296875,15
4053,15,1.0630000000002582,0.1552104949951172,15
3666,15,0.38399999999993994,0.14209747314453125,15
3387,15,1.7519999999997538,0.22172927856445312,15
3467,15,0.4179999999998074,0.1518726348876953,15
3891,15,0.3959999999998409,0.15091896057128906,15
3441,15,0.9039999999997939,0.1800060272216797,15
3624,15,0.6690000000002527,0.17404556274414062,15
4276,15,0.30399999999985994,0.15091896057128906,15
4530,15,1.080000000000414,0.1468658447265625,15
4300,15,0.4180000000002515,0.14901161193847656,15
4777,15,0.3959999999998409,0.1418590545654297,15
3256,15,0.2889999999999837,0.14400482177734375,15
3888,15,0.8110000000001172,0.1499652862548828,15
2607,15,0.468000000000135,0.16689300537109375,15
3756,15,0.38399999999993994,0.15091896057128906,15
3166,15,0.6839999999996849,0.1480579376220703,15
4010,15,0.4339999999998234,0.14901161193847656,15
4130,15,2.1059999999999413,0.1678466796875,15
4118,15,0.7689999999995756,0.1659393310546875,15
4396,15,4.345000000000265,0.5688667297363281,15
3395,15,2.080000000000304,0.28204917907714844,15
3642,15,0.9790000000000632,0.1590251922607422,15
4064,20,2.1450000000000635,0.3170967102050781,20
5015,20,0.700000000000145,0.28395652770996094,20
5022,20,0.9759999999996438,0.25916099548339844,20
4347,20,1.1999999999998678,0.2498626708984375,20
4807,20,2.08800000000009,0.24890899658203125,20
4855,20,0.9149999999999991,0.2570152282714844,20
4520,20,0.7060000000000954,0.24700164794921875,20
4884,20,0.7199999999998319,0.29206275939941406,20
4866,20,0.8740000000000414,0.5660057067871094,20
4708,20,2.0410000000001816,0.4417896270751953,20
3412,20,2.1279999999999077,0.23484230041503906,20
4637,20,1.471,0.33402442932128906,20
4831,20,0.8040000000000269,0.21886825561523438,20
4193,20,1.116000000000117,0.21910667419433594,20
3458,20,3.5610000000003694,0.22411346435546875,20
4601,20,0.7699999999997154,0.22792816162109375,20
4185,20,0.748000000000193,0.21910667419433594,20
4105,20,0.49099999999979715,0.21314620971679688,20
5299,20,0.548000000000215,0.21505355834960938,20
4304,20,0.6090000000003037,0.2129077911376953,20
4256,20,0.6089999999998597,0.21219253540039062,20
5005,20,0.8119999999998129,0.2200603485107422,20
4108,20,0.7670000000001842,0.6220340728759766,20
4805,20,0.23399999999984544,0.24199485778808594,20
4219,20,0.7999999999999119,0.36597251892089844,20
3885,20,0.7460000000003575,0.22411346435546875,20
4711,20,14.788999999999941,0.2613067626953125,20
5217,20,1.7570000000000086,0.2472400665283203,20
3551,20,2.690999999999999,0.3447532653808594,20
4280,20,4.674000000000067,0.6988048553466797,20
5483,25,3.7910000000001,0.48160552978515625,25
6098,25,2.4609999999998244,0.31375885009765625,25
4279,25,3.2289999999997043,0.44226646423339844,25
5072,25,2.9449999999999754,0.4673004150390625,25
5715,25,1.1769999999997616,0.453948974609375,25
5071,25,1.8850000000001366,0.3669261932373047,25
5771,25,1.190999999999942,0.3352165222167969,25
5697,25,1.978999999999953,0.3180503845214844,25
4778,25,1.1380000000000834,0.30994415283203125,25
4331,25,1.0409999999998476,0.308990478515625,25
5400,25,1.0169999999996016,0.30684471130371094,25
5348,25,1.2080000000000979,0.41413307189941406,25
4558,25,0.8610000000000007,0.29921531677246094,25
5341,25,3.4929999999997463,0.3299713134765625,25
6070,25,1.62299999999993,0.4410743713378906,25
4723,25,0.8740000000000414,0.3020763397216797,25
5252,25,0.6090000000003037,0.30493736267089844,25
4838,25,0.3750000000000142,0.3037452697753906,25
4617,25,1.5200000000001879,0.3037452697753906,25
5091,25,0.5399999999999849,0.3352165222167969,25
4237,25,0.46400000000001995,0.34308433532714844,25
5373,25,0.5930000000002877,0.3819465637207031,25
4706,25,0.8259999999999934,0.3039836883544922,25
5714,25,0.8779999999997123,0.30612945556640625,25
6638,25,11.779999999999902,0.6041526794433594,25
4504,25,0.8360000000000589,0.3368854522705078,25
5460,25,1.8760000000002108,0.3750324249267578,25
4034,25,1.55100000000008,0.4241466522216797,25
4946,25,0.9320000000001549,0.3039836883544922,25
4800,25,1.4510000000003132,0.39696693420410156,25
5886,30,1.1570000000000746,0.45108795166015625,30
4765,30,11.813000000000073,0.408172607421875,30
5742,30,9.040000000000159,1.2018680572509766,30
5498,30,2.4009999999998755,0.6053447723388672,30
4501,30,2.1370000000002776,0.5109310150146484,30
6123,30,6.6470000000000695,1.4939308166503906,30
5023,30,21.67500000000011,2.5010108947753906,30
5015,30,3.326999999999636,0.7240772247314453,30
5138,30,1.422999999999952,0.45800209045410156,30
5270,30,1.6599999999997728,0.43320655822753906,30
5030,30,5.946999999999925,0.44417381286621094,30
5876,30,1.5600000000000058,0.4432201385498047,30
5119,30,1.7580000000001483,0.5068778991699219,30
5252,30,1.3450000000001516,0.4086494445800781,30
5459,30,2.505999999999897,0.5371570587158203,30
5351,30,2.139000000000113,0.4200935363769531,30
6356,30,1.3980000000000103,0.4589557647705078,30
4903,30,6.9029999999998815,0.4169940948486328,30
5923,30,2.0729999999997695,0.4150867462158203,30
5683,30,6.901000000000046,0.7188320159912109,30
6560,30,10.702000000000211,0.9462833404541016,30
5873,30,6.461999999999968,1.627206802368164,30
4889,30,4.217000000000137,0.5440711975097656,30
5044,30,3.902000000000072,0.7648468017578125,30
6298,30,1.519000000000048,0.42176246643066406,30
5405,30,5.125000000000046,0.4038810729980469,30
5025,30,6.2229999999998675,0.4029273986816406,30
5529,30,1.7659999999999343,0.5571842193603516,30
5573,30,1.5489999999998005,0.4189014434814453,30
6254,30,2.361999999999753,0.41985511779785156,30
